term,forms,tags
anklet,"anklet, anklets",16k
annular,annular,16k
anodyne,"anodyne, anodynes",16k
antebellum,antebellum,16k
anther,"anther, antheral, anthers",16k
anthracite,anthracite,16k
anthropocentric,"anthropocentric, anthropocentrically, anthropocentricity, anthropocentrism",16k
anthropometric,"anthropometric, anthropometry",16k
anthropomorphise,"anthropomorphise, anthropomorphism",16k
antimony,antimony,16k
antipasto,"antipasto, antipasti",16k
antipodes,"antipodes, antipodal, antipodeal, antipodean",16k
antral,antral,16k
apologia,apologia,16k
apostolate,"apostolate, apostolates",16k
apposition,"apposition, appositions, appositive",16k
aquatint,"aquatint, aquatinter, aquatintist",16k
arachidonic,arachidonic,16k
arcadia,"arcadia, arcadian",16k
argot,argot,16k
armageddon,"armageddon, armageddons",16k
armoire,"armoire, armoires",16k
arrondissement,"arrondissement, arrondissements",16k
articular,"articular, articulary",16k
arugula,arugula,16k
ascorbic,ascorbic,16k
ashram,"ashram, ashrams",16k
assize,"assize, assizes",16k
astigmatic,"astigmatic, astigmatism",16k
astro,astro,16k
astrodome,astrodome,16k
atrophic,atrophic,16k
aureole,"aureole, aureoles",16k
autoclave,"autoclave, autoclaved, autoclaves, autoclaving",16k
axillary,axillary,16k
ayurvedic,"ayurvedic, ayurveda",16k
baccarat,baccarat,16k
backgammon,backgammon,16k
backpedal,"backpedal, backpedaled, backpedaling, backpedalled, backpedalling, backpedals",16k
bacteriophage,"bacteriophage, bacteriophages, bacteriophagy",16k
bal,bal,16k
balsa,balsa,16k
barbel,"barbel, barbels",16k
barcode,"barcode, barcoded, barcodes, barcoding",16k
barmy,"barmy, barmier, barmiest",16k
basset,"basset, bassets",16k
batik,"batik, batiked, batiks",16k
bazooka,"bazooka, bazookas",16k
bebop,bebop,16k
bedsit,"bedsit, bedsits",16k
belabour,"belabour, belabor, belabored, belaboring, belabors, belaboured, belabouring, belabours",16k
benefice,"benefice, benefices",16k
bergamot,bergamot,16k
berm,"berm, berms",16k
beryllium,beryllium,16k
besmirch,"besmirch, besmirched, besmirches, besmirching",16k
betide,"betide, betided, betides, betiding",16k
betoken,"betoken, betokened, betokening, betokens",16k
betwixt,betwixt,16k
bidet,"bidet, bidets",16k
bigamy,"bigamy, bigamist, bigamists, bigamous",16k
bigmouth,"bigmouth, bigmouthed, bigmouths",16k
biocontrol,biocontrol,16k
bioengineered,"bioengineered, bioengineering",16k
bioethics,"bioethics, bioethic, bioethical, bioethicist, bioethicists",16k
biome,"biome, biomes",16k
biosolid,"biosolid, biosolids",16k
biotech,"biotech, biotechnological, biotechs",16k
biotin,"biotin, biotinylated",16k
biphenyl,"biphenyl, biphenyls",16k
bisque,"bisque, bisques",16k
bitmap,"bitmap, bitmaps",16k
blackball,"blackball, blackballed, blackballing, blackballs",16k
blam,blam,16k
blancs,blancs,16k
blather,"blather, blathered, blathering, blathers",16k
bluefin,bluefin,16k
bole,"bole, boles",16k
boll,"boll, bolls",16k
bollard,"bollard, bollards",16k
bonjour,bonjour,16k
boson,"boson, bosonic, bosons",16k
botulism,botulism,16k
bouffant,bouffant,16k
boyar,"boyar, boyars",16k
brassica,"brassica, brassicas",16k
breadfruit,"breadfruit, breadfruits",16k
bridgehead,"bridgehead, bridgeheads",16k
brioche,brioche,16k
briquette,"briquette, briquettes",16k
bromine,bromine,16k
bronchodilator,"bronchodilator, bronchodilators",16k
brouhaha,"brouhaha, brouhahas",16k
brushwood,brushwood,16k
buckwheat,buckwheat,16k
buckyball,"buckyball, buckyballs",16k
buf,buf,16k
bulrush,"bulrush, bullrush, bullrushes, bulrushes",16k
bumpkin,"bumpkin, bumpkinish, bumpkinly, bumpkins",16k
burgess,"burgess, burgesses",16k
bursary,"bursary, bursaries",16k
butterfat,butterfat,16k
butterscotch,butterscotch,16k
cabriolet,"cabriolet, cabriolets",16k
cacique,"cacique, caciques",16k
cadge,"cadge, cadged, cadger, cadges, cadging",16k
caftan,"caftan, caftans",16k
cahoots,cahoots,16k
calcareous,calcareous,16k
calumny,"calumny, calumnies",16k
camber,"camber, cambered, cambering",16k
camembert,camembert,16k
camphor,camphor,16k
camshaft,"camshaft, camshafts",16k
canape,"canape, canapes, canapés",16k
candor,candor,16k
canker,"canker, cankerous, cankers",16k
canna,canna,16k
cantaloupe,"cantaloupe, cantaloupes",16k
cantor,"cantor, cantors",16k
capacitive,capacitive,16k
capo,"capo, capos",16k
cappella,cappella,16k
capuchin,"capuchin, capuchins",16k
carabinieri,carabinieri,16k
cardio,cardio,16k
carpal,carpal,16k
catalysis,catalysis,16k
catarrh,"catarrh, catarrhs",16k
catnip,"catnip, catmint",16k
causa,causa,16k
cauterise,"cauterise, cauterisation, cauterised, cauterises, cauterising, cauterization, cauterize, cauterized, cauterizes, cauterizing",16k
cecum,"cecum, caecal, caecum, cecal, cecally",16k
cenotaph,"cenotaph, cenotaphs",16k
centrepiece,"centrepiece, centrepieces",16k
centripetal,"centripetal, centripetally",16k
cephalopod,"cephalopod, cephalopods",16k
cerebrospinal,cerebrospinal,16k
cession,"cession, cessions",16k
chanson,"chanson, chansons",16k
chanterelle,"chanterelle, chanterelles",16k
chapati,"chapati, chapatis, chapatti, chapattis",16k
chatterbox,"chatterbox, chatterboxes",16k
cheep,"cheep, cheeped, cheeping, cheeps",16k
chelate,"chelate, chelates, chelating, chelation, chelator, chelators",16k
chequered,chequered,16k
cheroot,"cheroot, cheroots",16k
chiaroscuro,"chiaroscuro, chiaroscuros",16k
chicanery,"chicanery, chicaneries",16k
chignon,"chignon, chignons",16k
chine,"chine, chines",16k
chiral,"chiral, chirality",16k
chitchat,"chitchat, chitchats, chitchatted, chitchatting",16k
chloroplast,"chloroplast, chloroplasts",16k
chock,chock,16k
chorizo,"chorizo, chorizos",16k
choses,choses,16k
christological,christological,16k
chromatin,chromatin,16k
cimetidine,cimetidine,16k
circumpolar,circumpolar,16k
cisplatin,cisplatin,16k
civvy,"civvy, civie, civvies",16k
clade,"clade, clades",16k
clast,"clast, clastic, clasts",16k
clavicle,"clavicle, clavicles",16k
cline,cline,16k
clitoral,"clitoral, clit",16k
clomp,"clomp, clomped, clomping, clomps",16k
clop,"clop, clopped, clopping, clops",16k
cockatoo,"cockatoo, cockatoos",16k
codicil,"codicil, codiciliary, codicils",16k
cofactor,"cofactor, cofactors",16k
colectomy,colectomy,16k
coliform,coliform,16k
colloquy,"colloquy, colloquies",16k
collusive,collusive,16k
colobus,colobus,16k
comfrey,comfrey,16k
commissariat,"commissariat, commissariats",16k
concordant,"concordant, concordantly",16k
concordat,concordat,16k
conga,"conga, congas",16k
conjuncture,conjuncture,16k
conspecific,"conspecific, conspecifics",16k
contiguity,contiguity,16k
continuo,"continuo, continuos",16k
contradistinction,contradistinction,16k
contusion,"contusion, contusions",16k
coopt,"coopt, coopted, coopting, coopts",16k
copolymer,"copolymer, copolymers",16k
copra,copra,16k
corbel,"corbel, corbeled, corbeling, corbelled, corbelling, corbels",16k
corgi,"corgi, corgis",16k
corm,"corm, corms",16k
cornet,cornet,16k
cortege,"cortege, corteges",16k
cortisone,cortisone,16k
cosi,cosi,16k
cosine,"cosine, cosines",16k
coterminous,coterminous,16k
cotta,cotta,16k
cottonwood,"cottonwood, cottonwoods",16k
counterpane,"counterpane, counterpanes",16k
countersink,"countersink, countersinking, countersunk",16k
courgette,"courgette, courgettes",16k
covalent,covalent,16k
craw,"craw, craws",16k
crawfish,crawfish,16k
creel,"creel, creels",16k
crenellate,"crenellate, crenellated, crenellating, crenellation, crenellations",16k
crikey,crikey,16k
cubby,cubby,16k
cud,"cud, cuds",16k
cufflink,"cufflink, cufflinks",16k
curmudgeon,"curmudgeon, curmudgeonliness, curmudgeonly, curmudgeons",16k
cyanobacteria,"cyanobacteria, cyanobacterial",16k
cyclamen,"cyclamen, cyclamens",16k
cytochrome,"cytochrome, cytochromes",16k
cytomegalovirus,cytomegalovirus,16k
cytoplasmic,cytoplasmic,16k
debility,"debility, debilities",16k
decal,"decal, decals",16k
decrepitude,decrepitude,16k
dehumanise,"dehumanise, dehumanisation, dehumanised, dehumanises, dehumanising, dehumanization, dehumanize, dehumanized, dehumanizes, dehumanizing",16k
dehydrogenased,"dehydrogenased, dehydrogenase",16k
deictic,deictic,16k
delist,"delist, delisted, delisting, delists",16k
deltoid,"deltoid, deltoids",16k
demerits,"demerits, demerit",16k
denationalize,"denationalize, denationalisation, denationalise, denationalised, denationalises, denationalising, denationalization, denationalized, denationalizes, denationalizing",16k
derailleur,"derailleur, derailleurs",16k
desperado,"desperado, desperadoes, desperados",16k
determiner,"determiner, determiners",16k
deviled,"deviled, devilled",16k
dexamethasone,dexamethasone,16k
diamondback,"diamondback, diamondbacks",16k
diatonic,"diatonic, diatonically",16k
dichotic,dichotic,16k
dieu,dieu,16k
diorama,"diorama, dioramas",16k
disaffiliate,"disaffiliate, disaffiliated, disaffiliates, disaffiliating, disaffiliation",16k
dissimulate,"dissimulate, dissimulation",16k
dissolute,"dissolute, dissolutely, dissoluteness",16k
dit,"dit, dits",16k
doggerel,doggerel,16k
dogleg,"dogleg, doglegs",16k
dolce,dolce,16k
dolt,"dolt, doltish, doltishly, doltishness, dolts",16k
doppelganger,"doppelganger, doppelgangers",16k
dovecote,"dovecote, dovecot, dovecotes, dovecots",16k
dragnet,"dragnet, dragnets",16k
drat,"drat, dratted",16k
drawdown,"drawdown, drawdowns",16k
droit,droit,16k
drover,"drover, drovers",16k
ducky,ducky,16k
dyspeptic,"dyspeptic, dyspeptically",16k
dyspnoea,dyspnoea,16k
ecotourism,"ecotourism, ecotourist, ecotourists",16k
effectual,"effectual, effectuality, effectualness",16k
effendi,effendi,16k
egghead,"egghead, eggheads",16k
egress,"egress, egresses",16k
eiderdown,"eiderdown, eiderdowns",16k
eine,eine,16k
elderberry,"elderberry, elderberries",16k
electro,electro,16k
electroplate,"electroplate, electroplated, electroplates, electroplating",16k
elision,"elision, elisions",16k
ellipsoid,"ellipsoid, ellipsoidal, ellipsoids, elliptic",16k
elocute,"elocute, elocuted, elocutes, elocuting, elocution",16k
elute,"elute, eluted, elutes, eluting, elution",16k
embolism,"embolism, embolismic",16k
emollient,"emollient, emollients",16k
emolument,"emolument, emoluments",16k
emulsify,"emulsify, emulsification, emulsified, emulsifies, emulsifying",16k
enamoured,enamoured,16k
enchilada,"enchilada, enchiladas",16k
endogamy,"endogamy, endogamous",16k
enfant,"enfant, enfants",16k
equilateral,"equilateral, equilaterally",16k
erg,"erg, ergs",16k
ermine,ermine,16k
erosive,erosive,16k
escapement,escapement,16k
escudo,"escudo, escudos",16k
esprit,"esprit, ésprit",16k
espy,"espy, espied, espies, espying",16k
ethernet,ethernet,16k
evert,"evert, eversion, everted, everting, everts",16k
excalibur,excalibur,16k
excitatory,excitatory,16k
exotica,exotica,16k
fellatio,fellatio,16k
ferryman,"ferryman, ferrymen",16k
fez,"fez, fezes, fezzes",16k
fiberglass,"fiberglass, fibreglass",16k
fibril,"fibril, fibrils",16k
fibrin,"fibrin, fibrinous",16k
fibula,"fibula, fibulae, fibular, fibulas",16k
ficus,"ficus, ficuses",16k
fife,"fife, fifes",16k
fil,fil,16k
firmware,firmware,16k
fishtail,"fishtail, fishtailed, fishtailing, fishtails",16k
fisticuff,"fisticuff, fisticuffs",16k
fitch,"fitch, fitches",16k
flagon,"flagon, flagons",16k
formalin,"formalin, formalins",16k
forme,forme,16k
frat,"frat, frats",16k
fratricide,"fratricide, fratricidal, fratricidally",16k
freefall,freefall,16k
freeload,"freeload, freeloaded, freeloader, freeloaders, freeloading, freeloads",16k
freesia,"freesia, freesias",16k
friable,"friable, friability",16k
frogman,"frogman, frogmen",16k
ful,ful,16k
fullerene,"fullerene, fullerenes",16k
fulminant,"fulminant, fulminantly",16k
fundus,"fundus, fundi",16k
furor,furor,16k
fusillade,"fusillade, fusillades",16k
gainsay,"gainsay, gainsaid, gainsayer, gainsayers, gainsaying, gainsays",16k
galena,galena,16k
gallbladder,"gallbladder, gallbladders",16k
galosh,"galosh, galoshes",16k
garrot,"garrot, garotte, garotter, garotters, garroted, garroting, garrotte, garrotted, garrotting",16k
gastropod,"gastropod, gastropods",16k
gating,gating,16k
gaucho,gaucho,16k
gawp,"gawp, gawped, gawping, gawps",16k
gentamicin,gentamicin,16k
genuflect,"genuflect, genuflected, genuflecting, genuflects",16k
geochemistry,"geochemistry, geochemistries",16k
germanium,germanium,16k
gibbet,"gibbet, gibbets",16k
gibe,"gibe, gibes",16k
gigabyte,"gigabyte, gigabytes",16k
gigolo,"gigolo, gigolos",16k
gimlet,"gimlet, gimlets",16k
ginkgo,"ginkgo, ginkgos",16k
gizzard,"gizzard, gizzards",16k
glaucous,"glaucous, glaucousness",16k
glazier,"glazier, glaziers, glaziery",16k
glug,"glug, glugged, glugging, glugs",16k
glycerine,glycerine,16k
glycine,glycine,16k
gnocchi,gnocchi,16k
goby,"goby, gobies",16k
goldenrod,"goldenrod, goldenrods",16k
gonad,"gonad, gonads",16k
gonorrhoea,gonorrhoea,16k
gorgon,"gorgon, gorgons",16k
goulash,"goulash, goulashes",16k
gramps,gramps,16k
grandiloquent,"grandiloquent, grandiloquence, grandiloquently",16k
grange,"grange, granges",16k
greenback,"greenback, greenbacks",16k
groupware,groupware,16k
guacamole,guacamole,16k
guanine,"guanine, guanines",16k
gulfstream,gulfstream,16k
gumption,gumption,16k
gunk,"gunk, gunky",16k
hadron,"hadron, hadronic, hadrons",16k
haemophilia,"haemophilia, haemophiliac, haemophiliacs",16k
haemostasis,"haemostasis, hemostasis",16k
hagiography,"hagiography, hagiographer",16k
halleluia,"halleluia, alleluia",16k
halon,"halon, halons",16k
hansom,"hansom, hansoms",16k
haplotype,"haplotype, haplotypes",16k
happenstance,"happenstance, happenstances",16k
haricot,"haricot, haricots",16k
harmonium,"harmonium, harmonia, harmoniums",16k
haulier,"haulier, hauliers",16k
hauteur,hauteur,16k
haversack,"haversack, haversacks",16k
hearken,"hearken, hearkened, hearkening, hearkens",16k
hemolytic,"hemolytic, haemolysis, haemolytic, hemolysis",16k
heraldry,"heraldry, heraldries",16k
heuristics,heuristics,16k
hick,"hick, hickish",16k
hidebound,hidebound,16k
hippocampus,"hippocampus, hippocampi",16k
hippocratic,hippocratic,16k
histone,"histone, histones",16k
hittite,"hittite, hittites",16k
hobnob,"hobnob, hobnobbed, hobnobber, hobnobbing, hobnobs",16k
hoi,hoi,16k
homme,homme,16k
homogenates,"homogenates, homogenate",16k
honcho,"honcho, honchos",16k
honky,"honky, honkey, honkeys, honkies, honkys",16k
hornbill,"hornbill, hornbills",16k
horseplay,horseplay,16k
huckster,"huckster, hucksterism, hucksters",16k
humidify,"humidify, humidifier, humidifiers, humidifying",16k
humvee,"humvee, humvees",16k
hussy,"hussy, hussies",16k
hustings,hustings,16k
hydrochloride,"hydrochloride, hydrochlorides",16k
hymen,"hymen, hymenal, hymens",16k
hyperkinetic,hyperkinetic,16k
hyperspace,hyperspace,16k
hypha,"hypha, hyphae, hyphal",16k
hypochondria,hypochondria,16k
hypoglycaemia,"hypoglycaemia, hypoglycaemic, hypoglycaemics",16k
iatrogenic,iatrogenic,16k
icbm,"icbm, icbms",16k
idolater,"idolater, idolaters, idolator, idolators, idolatrous",16k
ileum,ileum,16k
illiquid,illiquid,16k
illus,illus,16k
imago,"imago, imagos",16k
immunogenicity,"immunogenicity, immunotherapy",16k
immunosuppressed,"immunosuppressed, immunosuppression",16k
impasto,"impasto, impastoed, impastos",16k
impecunious,"impecunious, impecuniosity, impecuniously, impecuniousness",16k
imprecate,"imprecate, imprecated, imprecates, imprecating, imprecation, imprecations, imprecatory",16k
inasmuch,inasmuch,16k
inbuilt,inbuilt,16k
incubus,"incubus, incubi, incubuses",16k
indomethacin,indomethacin,16k
ingress,"ingress, ingresses, ingressing, ingression, ingressions",16k
insectivore,"insectivore, insectivores, insectivorous",16k
institut,institut,16k
interfax,interfax,16k
interglacial,interglacial,16k
ionosphere,"ionosphere, ionospheric, ionospherically",16k
iphone,iphone,16k
ironmonger,"ironmonger, ironmongers, ironmongery",16k
isomorph,"isomorph, isomorphic, isomorphically, isomorphism, isomorphs",16k
jackdaw,"jackdaw, jackdaws",16k
jell,"jell, jelled, jelling, jells",16k
jetsam,jetsam,16k
jigger,"jigger, jiggered, jiggering, jiggers",16k
jodhpur,"jodhpur, jodhpurs",16k
kabuki,kabuki,16k
kaffir,"kaffir, kaffirs, kafir, kafirs",16k
kali,kali,16k
kanji,kanji,16k
keck,"keck, kecks",16k
ketamine,ketamine,16k
ketch,"ketch, ketches",16k
kibble,"kibble, kibbled, kibbles",16k
kinesthetic,"kinesthetic, kinaesthesis, kinaesthetic, kinaesthetically, kinesthesis, kinesthetically",16k
klaxon,"klaxon, klaxons",16k
kooky,"kooky, kookie, kookier, kookiest, kookiness",16k
kopek,"kopek, kopeck, kopecks, kopeks",16k
krispies,krispies,16k
kroner,"kroner, kroners",16k
kumquat,"kumquat, cumquat, cumquats, kumquats",16k
kung,kung,16k
labile,"labile, lability",16k
lackadaisical,"lackadaisical, lackadaisically",16k
lama,"lama, lamas",16k
laminar,laminar,16k
lasso,"lasso, lassoer",16k
laudanum,laudanum,16k
laundromat,"laundromat, laundromats",16k
lave,"lave, laved, laver, laves, laving",16k
lea,"lea, leas",16k
lector,"lector, lectors",16k
lepton,"lepton, leptons",16k
lettre,"lettre, lettres",16k
leucocyte,"leucocyte, leucocytes",16k
leukotriene,"leukotriene, leukotrienes",16k
licorice,licorice,16k
lidocaine,lidocaine,16k
liege,"liege, lieges",16k
limn,"limn, limned, limner, limners, limning, limns",16k
linden,"linden, lindens",16k
lineament,"lineament, lineamental, lineaments",16k
lionise,"lionise, lionised, lionises, lionising, lionize, lionized, lionizes, lionizing",16k
listeria,"listeria, listerias",16k
locution,"locution, locutions",16k
loess,loess,16k
lovelorn,lovelorn,16k
lowbrow,"lowbrow, lowbrows",16k
lube,"lube, lubed, lubes, lubing",16k
luger,"luger, lugers",16k
luxe,luxe,16k
lymphadenopathy,lymphadenopathy,16k
lysis,lysis,16k
macadamed,"macadamed, macadam",16k
madonna,"madonna, madonnas",16k
magister,magister,16k
magnetometer,"magnetometer, magnetometers",16k
majolica,"majolica, maiolica",16k
malabsorption,malabsorption,16k
malachite,malachite,16k
maladministration,maladministration,16k
malefactor,"malefactor, malefactors",16k
malian,malian,16k
malinger,"malinger, malingered, malingerer, malingerers, malingering, malingers",16k
mallow,"mallow, mallows",16k
malodorous,malodorous,16k
mammary,"mammary, mammaries",16k
manacle,"manacle, manacles",16k
manitou,"manitou, manitous",16k
mano,"mano, manos",16k
manufactory,"manufactory, manufactories",16k
maquiladora,"maquiladora, maquiladoras",16k
mardi,mardi,16k
marl,marl,16k
masala,masala,16k
masseuse,"masseuse, masseuses",16k
mastitis,mastitis,16k
materiel,materiel,16k
matins,matins,16k
maven,"maven, mavens",16k
mawkish,"mawkish, mawkishly, mawkishness",16k
mealy,mealy,16k
medulla,"medulla, medullary",16k
meerkat,"meerkat, meerkats",16k
megabit,"megabit, megabits",16k
megaton,"megaton, megatons",16k
meiosis,meiosis,16k
mellifluous,"mellifluous, mellifluously, mellifluousness",16k
mendelian,"mendelian, mendelism, mendelist",16k
mendicant,"mendicant, mendicants",16k
merlot,"merlot, merlots",16k
mesquite,"mesquite, mesquites",16k
metastasise,"metastasise, metastasised, metastasises, metastasising, metastasize, metastasized, metastasizes, metastasizing",16k
methionine,methionine,16k
methylene,methylene,16k
microclimate,"microclimate, microclimates",16k
microcontrol,"microcontrol, microcontrolled, microcontroller, microcontrollers, microcontrolling, microcontrols",16k
microgravity,microgravity,16k
microsecond,"microsecond, microseconds",16k
microtubule,"microtubule, microtubules",16k
milkweed,"milkweed, milkweeds",16k
millipede,"millipede, millipedes",16k
minerology,"minerology, mineralogical",16k
minimis,minimis,16k
miniseries,miniseries,16k
misdemeanour,"misdemeanour, misdemeanours",16k
missal,"missal, missals",16k
moderne,moderne,16k
molybdenum,molybdenum,16k
monetise,"monetise, monetisation, monetised, monetises, monetising, monetization, monetize, monetized, monetizes, monetizing",16k
monger,"monger, mongering, mongers",16k
monkfish,monkfish,16k
monocular,monocular,16k
monolayer,"monolayer, monolayers",16k
monopole,"monopole, monopoles",16k
monotonic,monotonic,16k
montane,montane,16k
mortician,"mortician, morticians",16k
mortis,mortis,16k
motocross,motocross,16k
moulder,"moulder, mouldered, mouldering, moulders",16k
moulin,moulin,16k
movimiento,movimiento,16k
muesli,"muesli, mueslis",16k
muezzin,"muezzin, muezzins",16k
mullion,"mullion, mullioned",16k
multicolored,multicolored,16k
multimillionaire,"multimillionaire, multimillionaires",16k
multimode,"multimode, multimodal",16k
multipolar,multipolar,16k
mummer,"mummer, mumm, mummed, mummers, mummery, mumming, mumms",16k
mumps,mumps,16k
munificent,"munificent, munificence, munificently",16k
murine,murine,16k
musique,musique,16k
muskrat,"muskrat, muskrats",16k
mutagenesis,"mutagenesis, mutagenic",16k
muzak,muzak,16k
myelin,"myelin, myelinic",16k
mynah,"mynah, mina, minah, minahs, minas, myna, mynahs, mynas",16k
nacho,"nacho, nachos",16k
nar,nar,16k
narthex,narthex,16k
narwhal,"narwhal, narwhale, narwhals",16k
nasogastric,nasogastric,16k
naturopathy,"naturopathy, naturopath, naturopathic, naturopaths",16k
nazionale,nazionale,16k
necropolis,necropolis,16k
needlepoint,needlepoint,16k
negligee,"negligee, negligees",16k
neocortex,"neocortex, neocortical",16k
neoplasia,neoplasia,16k
neuralgia,"neuralgia, neuralgic, neuralgically",16k
neurochemistry,"neurochemistry, neurochemical, neurochemicals, neurochemist, neurochemists",16k
neurone,"neurone, neurones",16k
newfangled,"newfangled, newfangledness",16k
niacin,niacin,16k
nightstick,"nightstick, nightsticks",16k
nigra,nigra,16k
nitpick,"nitpick, nitpicked, nitpicker, nitpickers, nitpicking, nitpicks, nitpicky",16k
nitroglycerine,"nitroglycerine, nitroglycerin",16k
noggin,"noggin, noggins",16k
nom,nom,16k
nomenclature,"nomenclature, nomenclatures",16k
nonentity,nonentity,16k
nostrum,"nostrum, nostrums",16k
nubile,"nubile, nubility",16k
nucleate,"nucleate, nucleated",16k
nucleon,"nucleon, nucleons",16k
numerology,"numerology, numerological, numerologist",16k
numismatic,"numismatic, numismatical, numismatically, numismatics, numismatist, numismatists, numismatology",16k
nuncio,"nuncio, nuncios",16k
nutcase,"nutcase, nutcases",16k
obscurantism,"obscurantism, obscurantist",16k
odeon,"odeon, odeons",16k
omeprazole,omeprazole,16k
oncogene,"oncogene, oncogenes",16k
onomatopoeic,"onomatopoeic, onomatopoeia, onomatopoeical, onomatopoetic, onomatopoetical",16k
ontogeny,"ontogeny, ontogenesis, ontogenetic",16k
opalescent,"opalescent, opalescence",16k
operand,"operand, operands",16k
opprobrium,opprobrium,16k
organochlorine,"organochlorine, organochlorines",16k
organza,organza,16k
orthodontic,"orthodontic, orthodontia, orthodontically, orthodontics, orthodontist, orthodontists",16k
orthopedic,orthopedic,16k
oscilloscope,"oscilloscope, oscilloscopes, oscilloscopic, oscilloscopically",16k
ouija,"ouija, ouijas",16k
outwith,outwith,16k
overstressed,overstressed,16k
overweening,"overweening, overweeningly",16k
oxidase,oxidase,16k
oxtail,"oxtail, oxtails",16k
palaver,palaver,16k
paleolithic,paleolithic,16k
paling,"paling, palings",16k
pampas,pampas,16k
panegyric,"panegyric, panegyrical, panegyrically, panegyrics",16k
pantaloons,"pantaloons, pantaloon",16k
papist,"papist, papists",16k
paraglider,"paraglider, paragliding",16k
paralegal,"paralegal, paralegals",16k
parallelogram,"parallelogram, parallelograms",16k
paramour,"paramour, paramours",16k
paraprofessional,"paraprofessional, paraprofessionals",16k
parapsychology,"parapsychology, parapsychological, parapsychologist",16k
parastatal,"parastatal, parastatals",16k
parlay,"parlay, parlayed, parlaying, parlays",16k
parte,parte,16k
patchouli,patchouli,16k
patella,"patella, patellae, patellar, patellas",16k
pater,pater,16k
pax,pax,16k
pedlar,"pedlar, pedlars",16k
pedometer,"pedometer, pedometers",16k
pent,pent,16k
penumbra,"penumbra, penumbrae, penumbras",16k
peon,"peon, peones, peons",16k
pepperoni,pepperoni,16k
pepsin,pepsin,16k
perdition,perdition,16k
peritoneal,"peritoneal, peritoneally, peritoneum, peritoneums",16k
periwinkle,"periwinkle, periwinkles",16k
peroxidase,"peroxidase, peroxidases",16k
persimmon,"persimmon, persimmons",16k
perspex,perspex,16k
pertussis,pertussis,16k
peyote,peyote,16k
phenolic,"phenolic, phenolics",16k
picaresque,picaresque,16k
piccolo,"piccolo, piccoloist, piccolos",16k
pickaxe,"pickaxe, pickaxes",16k
pigsty,"pigsty, pigsties",16k
pilsner,"pilsner, pils, pilsener, pilseners, pilsners",16k
pineal,pineal,16k
pion,"pion, pions",16k
pizazz,"pizazz, pizzaz, pizzazy, pizzazz, pizzazzy",16k
plaice,"plaice, plaices",16k
plasticine,"plasticine, plasticines",16k
platypus,"platypus, platypi, platypuses",16k
ploughshare,"ploughshare, ploughshares, plowshare, plowshares",16k
plutocrat,"plutocrat, plutocracy, plutocratic, plutocrats",16k
polonium,polonium,16k
poltergeist,"poltergeist, poltergeists",16k
polyglot,"polyglot, polyglots",16k
polymorphic,"polymorphic, polymorphically",16k
polyposis,polyposis,16k
polysaccharide,"polysaccharide, polysaccharides",16k
polyvinyl,polyvinyl,16k
pomeranian,"pomeranian, pomeranians",16k
poppers,poppers,16k
porting,porting,16k
portmanteau,portmanteau,16k
poseur,"poseur, poseurs",16k
postprandial,postprandial,16k
potentiate,"potentiate, potentiated, potentiates, potentiating",16k
practicum,"practicum, practicums",16k
praetor,"praetor, praetorian, praetors",16k
preamp,"preamp, preamps",16k
precis,"precis, précis",16k
primp,"primp, primped, primping, primps",16k
proband,"proband, probands",16k
pronominal,"pronominal, pronominals",16k
proscenium,"proscenium, proscenia, prosceniums",16k
proteolytic,proteolytic,16k
protrusion,"protrusion, protusions",16k
psychomotor,psychomotor,16k
psychophysical,psychophysical,16k
psyllium,psyllium,16k
ptarmigan,"ptarmigan, ptarmigans",16k
puckish,"puckish, puckishly, puckishness",16k
puerile,"puerile, puerilely, puerility",16k
pugilist,"pugilist, pugilism, pugilistic, pugilistically",16k
pygmalion,"pygmalion, pygmalions",16k
pyrex,pyrex,16k
pyrite,pyrite,16k
pyrrhic,pyrrhic,16k
pythagorean,pythagorean,16k
quadriplegia,"quadriplegia, quadriplegic",16k
quadruped,"quadruped, quadrupeds",16k
quanta,quanta,16k
quantisation,"quantisation, quantization",16k
quarto,"quarto, quartos",16k
quartzite,quartzite,16k
quiescence,quiescence,16k
quran,"quran, quranic",16k
qwerty,qwerty,16k
radian,"radian, radians",16k
raffish,"raffish, raffishly, raffishness",16k
rancorous,rancorous,16k
ranitidine,ranitidine,16k
ratatouille,"ratatouille, ratatouilles",16k
rectilinear,rectilinear,16k
reefer,"reefer, reefers",16k
remaster,"remaster, remastered, remastering, remasters",16k
renamo,renamo,16k
reproof,"reproof, reproofs",16k
rescission,rescission,16k
reticulum,"reticulum, reticula",16k
retinol,retinol,16k
reuptake,reuptake,16k
ribber,"ribber, ribbers",16k
riboflavin,riboflavin,16k
rickets,rickets,16k
ricks,ricks,16k
rien,rien,16k
riesling,"riesling, rieslings",16k
rightwing,rightwing,16k
rigmarole,"rigmarole, rigamarole",16k
rill,"rill, rills",16k
risible,"risible, risibly",16k
risque,"risque, risqué",16k
romany,"romany, romanies",16k
rookery,"rookery, rookeries",16k
rubberneck,"rubberneck, rubbernecked, rubbernecker, rubberneckers, rubbernecking, rubbernecks",16k
rubella,rubella,16k
ruching,"ruching, ruched",16k
rufous,rufous,16k
saccharin,saccharin,16k
sacrum,"sacrum, sacra",16k
sadomasochism,"sadomasochism, sadomasochist, sadomasochistic",16k
safflower,safflower,16k
